data,id
2015-08-10,23161
2015-08-10,27855
2015-08-10,5690
2015-08-10,41996
2015-08-10,5713
2015-08-10,3522
2015-08-10,19892
2015-08-10,43361
2015-08-10,19798
2015-08-10,11761
2015-08-10,13248
2015-08-10,41835
2015-08-10,23475
2015-08-10,1793
2015-08-10,12836
2015-08-10,24698
2015-08-10,9228
2015-08-10,24168
2015-08-10,19084
2015-08-10,12984
2015-08-10,19429
2015-08-11,14406
2015-08-11,42263
2015-08-11,11345
2015-08-11,19114
2015-08-11,24111
2015-08-11,22663
2015-08-11,42229
2015-08-11,17951
2015-08-11,17880
2015-08-11,14330
2015-08-11,36514
2015-08-11,40250
2015-08-11,40211
2015-08-11,40431
2015-08-11,13130
2015-08-11,11170
2015-08-11,43439
2015-08-11,24106
2015-08-11,25521
2015-08-11,11295
2015-08-11,7165
2015-08-11,8452
2015-08-11,9856
2015-08-11,14518
2015-08-11,14935
2015-08-11,15323
2015-08-11,42909
2015-08-11,12443
2015-08-11,32029
2015-08-11,42368
2015-08-11,40945
2015-08-11,42506
2015-08-11,42754
2015-08-11,38257
2015-08-11,16422
2015-08-11,35589
2015-08-11,13984
2015-08-11,41214
2015-08-11,40225
2015-08-11,40253
2015-08-11,14653
2015-08-11,41653
2015-08-11,5542
2015-08-11,12722
2015-08-11,39115
2015-08-11,12315
2015-08-11,42482
2015-08-11,1645
2015-08-11,36899
2015-08-11,3078
2015-08-11,3077
2015-08-11,23918
2015-08-11,13372
2015-08-11,40665
2015-08-12,5431
2015-08-12,41699
2015-08-12,36472
2015-08-12,40570
2015-08-12,42056
2015-08-12,41840
2015-08-12,4556
2015-08-12,41204
2015-08-12,42596
2015-08-12,41210
2015-08-12,41655
2015-08-12,42753
2015-08-13,2783
2015-08-13,2556
2015-08-13,43113
2015-08-13,378
2015-08-13,18532
2015-08-13,2419
2015-08-13,40012
2015-08-13,35527
2015-08-13,36052
2015-08-13,2499
2015-08-13,1077
2015-08-13,1385
2015-08-13,1599
2015-08-13,2707
2015-08-13,39450
2015-08-13,4596
2015-08-13,14263
2015-08-13,9332
2015-08-13,22455
2015-08-13,42038
2015-08-14,41119
2015-08-14,5585
2015-08-14,23257
2015-08-14,5383
2015-08-14,34048
2015-08-14,40064
2015-08-14,40023
2015-08-14,9591
2015-08-17,406
2015-08-17,27226
2015-08-17,41070
2015-08-17,457
2015-08-17,40236
2015-08-17,28135
2015-08-17,25789
2015-08-17,43034
2015-08-17,22949
2015-08-17,40900
2015-08-17,14607
2015-08-17,16088
2015-08-17,21587
2015-08-17,23100
2015-08-17,40266
2015-08-17,40667
2015-08-17,43109
2015-08-17,36387
2015-08-17,40990
2015-08-17,40910
2015-08-17,15040
2015-08-17,38319
2015-08-17,26274
2015-08-17,39880
2015-08-17,22792
2015-08-17,43235
2015-08-17,43048
2015-08-17,16687
2015-08-17,32520
2015-08-17,14291
2015-08-17,43123
2015-08-17,41350
2015-08-18,10190
2015-08-18,36544
2015-08-18,11270
2015-08-18,16765
2015-08-18,37851
2015-08-18,16777
2015-08-18,40643
2015-08-18,41665
2015-08-18,6073
2015-08-18,40295
2015-08-18,40993
2015-08-18,42829
2015-08-18,9472
2015-08-18,43889
2015-08-18,26691
2015-08-18,13883
2015-08-18,11241
2015-08-18,17569
2015-08-18,30597
2015-08-18,11975
2015-08-18,11997
2015-08-18,24657
2015-08-18,15536
2015-08-18,41332
2015-08-18,13135
2015-08-18,4040
2015-08-18,9691
2015-08-18,10090
2015-08-18,9298
2015-08-18,38686
2015-08-18,7984
2015-08-18,11260
2015-08-18,36451
2015-08-18,13985
2015-08-19,5654
2015-08-19,36734
2015-08-19,21035
2015-08-19,12446
2015-08-19,28002
2015-08-19,32206
2015-08-19,42408
2015-08-19,21025
2015-08-19,31694
2015-08-19,38506
2015-08-19,35671
2015-08-19,21027
2015-08-19,38588
2015-08-19,35263
2015-08-19,23326
2015-08-19,13501
2015-08-19,39020
2015-08-19,21014
2015-08-19,29835
2015-08-19,36089
2015-08-19,21023
